show_id,type,title,country,date_added,release_year,rating,duration,Genre,description,Platform
s1126,TV Show,Phineas and Ferb,United States,2019-11-12,2007,TV-G,1800,Animation,Phineas and Ferb have big summertime adventures with friends.,Disney
s1126,TV Show,Phineas and Ferb,United States,2019-11-12,2007,TV-G,1800,Comedy,Phineas and Ferb have big summertime adventures with friends.,Disney
s1126,TV Show,Phineas and Ferb,South Korea,2019-11-12,2007,TV-G,1800,Action-Adventure,Phineas and Ferb have big summertime adventures with friends.,Disney
s1126,TV Show,Phineas and Ferb,South Korea,2019-11-12,2007,TV-G,1800,Animation,Phineas and Ferb have big summertime adventures with friends.,Disney
s1126,TV Show,Phineas and Ferb,South Korea,2019-11-12,2007,TV-G,1800,Comedy,Phineas and Ferb have big summertime adventures with friends.,Disney
s1126,TV Show,Phineas and Ferb,China,2019-11-12,2007,TV-G,1800,Action-Adventure,Phineas and Ferb have big summertime adventures with friends.,Disney
s1126,TV Show,Phineas and Ferb,China,2019-11-12,2007,TV-G,1800,Animation,Phineas and Ferb have big summertime adventures with friends.,Disney
s1126,TV Show,Phineas and Ferb,China,2019-11-12,2007,TV-G,1800,Comedy,Phineas and Ferb have big summertime adventures with friends.,Disney
s1126,TV Show,Phineas and Ferb,Taiwan,2019-11-12,2007,TV-G,1800,Action-Adventure,Phineas and Ferb have big summertime adventures with friends.,Disney
s1126,TV Show,Phineas and Ferb,Taiwan,2019-11-12,2007,TV-G,1800,Animation,Phineas and Ferb have big summertime adventures with friends.,Disney
s1126,TV Show,Phineas and Ferb,Taiwan,2019-11-12,2007,TV-G,1800,Comedy,Phineas and Ferb have big summertime adventures with friends.,Disney
s1127,Movie,Phineas and Ferb the Movie: Across the 2nd Dimension,United States,2019-11-12,2011,TV-G,79,Action-Adventure,Phineas and Ferb jump dimensions and learn Perry is a real secret agent.,Disney
s1127,Movie,Phineas and Ferb the Movie: Across the 2nd Dimension,United States,2019-11-12,2011,TV-G,79,Animation,Phineas and Ferb jump dimensions and learn Perry is a real secret agent.,Disney
s1127,Movie,Phineas and Ferb the Movie: Across the 2nd Dimension,United States,2019-11-12,2011,TV-G,79,Comedy,Phineas and Ferb jump dimensions and learn Perry is a real secret agent.,Disney
s1127,Movie,Phineas and Ferb the Movie: Across the 2nd Dimension,Taiwan,2019-11-12,2011,TV-G,79,Action-Adventure,Phineas and Ferb jump dimensions and learn Perry is a real secret agent.,Disney
s1127,Movie,Phineas and Ferb the Movie: Across the 2nd Dimension,Taiwan,2019-11-12,2011,TV-G,79,Animation,Phineas and Ferb jump dimensions and learn Perry is a real secret agent.,Disney
s1127,Movie,Phineas and Ferb the Movie: Across the 2nd Dimension,Taiwan,2019-11-12,2011,TV-G,79,Comedy,Phineas and Ferb jump dimensions and learn Perry is a real secret agent.,Disney
s1127,Movie,Phineas and Ferb the Movie: Across the 2nd Dimension,China,2019-11-12,2011,TV-G,79,Action-Adventure,Phineas and Ferb jump dimensions and learn Perry is a real secret agent.,Disney
s1127,Movie,Phineas and Ferb the Movie: Across the 2nd Dimension,China,2019-11-12,2011,TV-G,79,Animation,Phineas and Ferb jump dimensions and learn Perry is a real secret agent.,Disney
s1127,Movie,Phineas and Ferb the Movie: Across the 2nd Dimension,China,2019-11-12,2011,TV-G,79,Comedy,Phineas and Ferb jump dimensions and learn Perry is a real secret agent.,Disney
s1128,Movie,Phineas and Ferb: Mission Marvel,United States,2019-11-12,2013,TV-G,46,Action-Adventure,Two Universes Collide In One Epic Adventure!,Disney
s1128,Movie,Phineas and Ferb: Mission Marvel,United States,2019-11-12,2013,TV-G,46,Animation,Two Universes Collide In One Epic Adventure!,Disney
s1128,Movie,Phineas and Ferb: Mission Marvel,United States,2019-11-12,2013,TV-G,46,Comedy,Two Universes Collide In One Epic Adventure!,Disney
s1129,Movie,Piglet's Big Movie,United States,2019-11-12,2003,G,78,Action-Adventure,"When Piglet disappears, his friends band together to find him.",Disney
s1129,Movie,Piglet's Big Movie,United States,2019-11-12,2003,G,78,Animation,"When Piglet disappears, his friends band together to find him.",Disney
s1129,Movie,Piglet's Big Movie,United States,2019-11-12,2003,G,78,Kids,"When Piglet disappears, his friends band together to find him.",Disney
s1130,Movie,Pinocchio,United States,2019-11-12,1940,G,90,Animation,A little wooden puppet yearns to become a real boy.,Disney
s1130,Movie,Pinocchio,United States,2019-11-12,1940,G,90,Family,A little wooden puppet yearns to become a real boy.,Disney
s1130,Movie,Pinocchio,United States,2019-11-12,1940,G,90,Fantasy,A little wooden puppet yearns to become a real boy.,Disney
s1131,Movie,Piper,United States,2019-11-12,2016,G,6,Animals & Nature,A sandpiper exploring by the shore encounters scary waves.,Disney
s1131,Movie,Piper,United States,2019-11-12,2016,G,6,Animation,A sandpiper exploring by the shore encounters scary waves.,Disney
s1131,Movie,Piper,United States,2019-11-12,2016,G,6,Family,A sandpiper exploring by the shore encounters scary waves.,Disney
s1132,Movie,Pirates of the Caribbean: At World's End,United States,2019-11-12,2007,PG-13,169,Action-Adventure,An alliance forms to rescue Captain Jack Sparrow from Davy Jones' locker.,Disney
s1132,Movie,Pirates of the Caribbean: At World's End,United States,2019-11-12,2007,PG-13,169,Fantasy,An alliance forms to rescue Captain Jack Sparrow from Davy Jones' locker.,Disney
s1133,Movie,Pirates of the Caribbean: Dead Man's Chest,United States,2019-11-12,2006,PG-13,152,Action-Adventure,"Captain Jack Sparrow must seize the ""Dead Man's Chest"" to cheat death.",Disney
s1133,Movie,Pirates of the Caribbean: Dead Man's Chest,United States,2019-11-12,2006,PG-13,152,Fantasy,"Captain Jack Sparrow must seize the ""Dead Man's Chest"" to cheat death.",Disney
s1134,Movie,Pirates of the Caribbean: The Curse of the Black Pearl,United States,2019-11-12,2003,PG-13,144,Action-Adventure,Jack Sparrow and Will Turner partner to save the governor's daughter.,Disney
s1134,Movie,Pirates of the Caribbean: The Curse of the Black Pearl,United States,2019-11-12,2003,PG-13,144,Fantasy,Jack Sparrow and Will Turner partner to save the governor's daughter.,Disney
s1135,TV Show,Pixar In Real Life,United States,2019-11-12,2019,TV-G,450,Anthology,Characters and moments from Pixar films are brought to life to the surprise of real people.,Disney
s1135,TV Show,Pixar In Real Life,United States,2019-11-12,2019,TV-G,450,Comedy,Characters and moments from Pixar films are brought to life to the surprise of real people.,Disney
s1135,TV Show,Pixar In Real Life,United States,2019-11-12,2019,TV-G,450,Family,Characters and moments from Pixar films are brought to life to the surprise of real people.,Disney
s1136,Movie,Pixel Perfect,United States,2019-11-12,2004,TV-G,90,Comedy,A techno whiz must protect his hologram from falling into the wrong hands.,Disney
s1136,Movie,Pixel Perfect,United States,2019-11-12,2004,TV-G,90,Coming of Age,A techno whiz must protect his hologram from falling into the wrong hands.,Disney
